Code/Key,Natural Language Description,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
PBCC,singular,NEUTRAL,0.0
METER PICKUP IN PROGRESS,singular,NEUTRAL,0.0
TAM,singular,NEUTRAL,0.0
CALLBACK SET FOR 15 DAYS,singular,NEUTRAL,0.0
MSD,singular,NEUTRAL,0.0
PHONE,singular,NEUTRAL,0.0
CANADA,singular,NEUTRAL,0.0
RESOLVED,singular,NEUTRAL,0.0
CURRENT/PAST DUE INVOICE,singular,NEUTRAL,0.0
UNASSIGNED,singular,NEUTRAL,0.0
GMS,singular,NEUTRAL,0.0
NETTED SALE,singular,NEUTRAL,0.0
PBOD,singular,NEUTRAL,0.0
SBSRET,singular,NEUTRAL,0.0
MSDRET,singular,NEUTRAL,0.0
