Code/Key,Natural Language Description,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
SYSTEM RETENTION,singular,NEUTRAL,0.0
REFUND,singular,NEUTRAL,0.0
FILE CORRECT-OVER MY LIMIT,singular,NEUTRAL,0.0
SUPERVISOR,singular,NEUTRAL,0.0
SA RETENTION,singular,NEUTRAL,0.0
CHANGED FREQUENCY/BILLING,singular,NEUTRAL,0.0
CREATED AS PER REQUEST FROM LUAN,singular,NEUTRAL,0.0
SEND T & C,singular,NEUTRAL,0.0
REQUEST TO MAKE PAYMENT,singular,NEUTRAL,0.0
EQUIPMENT IN STOCK,singular,NEUTRAL,0.0
MF,singular,NEUTRAL,0.0
CREDIT CARD UPDATE,singular,NEUTRAL,0.0
SENT TO LOCKBOX,singular,NEUTRAL,0.0
IVR,singular,NEUTRAL,0.0
10K7BOGO,singular,NEUTRAL,0.0
WEB-SUBMITTED QUESTION,singular,NEUTRAL,0.0
METER FUNCTION (PI),singular,NEUTRAL,0.0
OPT OUT CC,singular,NEUTRAL,0.0
SEND LEASE COPY,singular,NEUTRAL,0.0
SET UP NEW CREDIT CARD,singular,NEUTRAL,0.0
MARKETING PROGRAM CHANGE (C),singular,NEUTRAL,0.0
NI,singular,NEUTRAL,0.0
CROSS-SELL OFFER REJECTED,singular,NEUTRAL,0.0
PROMISE TO PAY,singular,NEUTRAL,0.0
UPDATE CREDIT CARD,singular,NEUTRAL,0.0
NA,singular,NEUTRAL,0.0
MISSING COMPONENTS - K7,singular,NEUTRAL,0.0
INSTALL ASST - K7,singular,NEUTRAL,0.0
PH - POOR PRINT  (PI),singular,NEUTRAL,0.0
BLANK (PI),singular,NEUTRAL,0.0
EXPLAINED PRICING,singular,NEUTRAL,0.0
NV,singular,NEUTRAL,0.0
EXTEND FREE TRIAL,singular,NEUTRAL,0.0
K700BOGO,singular,NEUTRAL,0.0
CREDIT CARD,singular,NEUTRAL,0.0
SWAP/UPGRADE (A),singular,NEUTRAL,0.0
NO,singular,NEUTRAL,0.0
ESCALATED POSTAGE,singular,NEUTRAL,0.0
GMS,singular,NEUTRAL,0.0
CHANGE MARKET PROMO,singular,NEUTRAL,0.0
CANCEL CREDIT CARD,singular,NEUTRAL,0.0
SUPPORT CENTER,singular,NEUTRAL,0.0
INSPECTION,singular,NEUTRAL,0.0
PRINT QUALITY POOR (PI),singular,NEUTRAL,0.0
FILE CORRECT,singular,NEUTRAL,0.0
USAGE INQUIRY,singular,NEUTRAL,0.0
NONE,singular,NEUTRAL,0.0
WN,singular,NEUTRAL,0.0
SENT TO CUSTOMER,singular,NEUTRAL,0.0
GQ,singular,NEUTRAL,0.0
PI,singular,NEUTRAL,0.0
GET 1 INK (IB),singular,NEUTRAL,0.0
POSTAGE,singular,NEUTRAL,0.0
K7 DLA FEATURES,singular,NEUTRAL,0.0
EXPLAINED INVOICE,singular,NEUTRAL,0.0
METER UNLOCK,singular,NEUTRAL,0.0
CALIBRATION - WEIGHT (RGPI),singular,NEUTRAL,0.0
WAIVE PBP RESET(S),singular,NEUTRAL,0.0
LOADED SOFTGUARD,singular,NEUTRAL,0.0
METER INSTRUCTIONS NEEDED (R),singular,NEUTRAL,0.0
PARTS (PI),singular,NEUTRAL,0.0
TRANSFERRED - SERVICE MGT.,singular,NEUTRAL,0.0
PROCESSED CREDIT CARD,singular,NEUTRAL,0.0
MY BILLS INQUIRY,singular,NEUTRAL,0.0
BALANCE INQUIRY,singular,NEUTRAL,0.0
REMOVE COD,singular,NEUTRAL,0.0
WRITE OFF INVOICE,singular,NEUTRAL,0.0
OUT OF DISTRICT,singular,NEUTRAL,0.0
WAIVE INVOICE(S),singular,NEUTRAL,0.0
COMMITMENT(A),singular,NEUTRAL,0.0
CUSTOMER SATISFACTION,singular,NEUTRAL,0.0
PR,singular,NEUTRAL,0.0
CANCELED INVOICE,singular,NEUTRAL,0.0
UPGRADE TO SYSTEM,singular,NEUTRAL,0.0
DOWNLOAD P7XX,singular,NEUTRAL,0.0
AM,singular,NEUTRAL,0.0
BILLING,singular,NEUTRAL,0.0
BS,singular,NEUTRAL,0.0
EXPLAINED LATE CHARGE,singular,NEUTRAL,0.0
DISPUTE FLAG REMOVED,singular,NEUTRAL,0.0
EXPLAIN FEES,singular,NEUTRAL,0.0
OTHER,singular,NEUTRAL,0.0
GUIDANCE,singular,NEUTRAL,0.0
METER ERRORS (PI),singular,NEUTRAL,0.0
STANDALONE RETENTION,singular,NEUTRAL,0.0
ADD VALUE,singular,NEUTRAL,0.0
INK CARTRIDGE ISSUE (PI),singular,NEUTRAL,0.0
ST,singular,NEUTRAL,0.0
UPDATE ADDRESS IN SAP,singular,NEUTRAL,0.0
TRANSFERRED - SUPPLY LINE,singular,NEUTRAL,0.0
PROCESSED REPLACEMENT,singular,NEUTRAL,0.0
MARKETING PROGRAM CHANGE (A),singular,NEUTRAL,0.0
CREDIT INVOICE(S),singular,NEUTRAL,0.0
ONE TIME PAYMENT,singular,NEUTRAL,0.0
SL,singular,NEUTRAL,0.0
EXPLAINED RESET CHARGES,singular,NEUTRAL,0.0
WAIVED LATE CHARGE,singular,NEUTRAL,0.0
BILLING QUESTION (PI),singular,NEUTRAL,0.0
CANCELED AND REBILL INVOICE,singular,NEUTRAL,0.0
BENEFITS(A),singular,NEUTRAL,0.0
CC,singular,NEUTRAL,0.0
RENEWAL COMPLACENT,singular,NEUTRAL,0.0
REFILL OPS ASST/?S-PI - K7,singular,NEUTRAL,0.0
ADDRESS CHANGE,singular,NEUTRAL,0.0
BATTERY LOW PROBLEM (RSPI),singular,NEUTRAL,0.0
TRANSFERRED FUNDS,singular,NEUTRAL,0.0
1ST CALL RESOLUTION/AM,singular,NEUTRAL,0.0
