Code/Key,Natural Language Description,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
NID ESCALATIONS,singular,NEUTRAL,0.0
TEAM CUSTOMER AGENT,singular,NEUTRAL,0.0
CSS - CC REPORT EMAILS,singular,NEUTRAL,0.0
PARTS ORDER AGENT,singular,NEUTRAL,0.0
CSS - REFERRALS,singular,NEUTRAL,0.0
CREDIT CARD MAINTENANCE-NORFOLK,singular,NEUTRAL,0.0
BANKRUPTCY,singular,NEUTRAL,0.0
3-LR0U6Z,singular,NEUTRAL,0.0
CSS - SUPPLY ORDER,singular,NEUTRAL,0.0
IS SYSTEM REFERRALS,singular,NEUTRAL,0.0
CHECKS,singular,NEUTRAL,0.0
1ST CALL RESOLUTION HO,singular,NEUTRAL,0.0
LEASE ADMINISTRATION - HOME OFFICE,singular,NEUTRAL,0.0
MISC TASK IN AUX,singular,NEUTRAL,0.0
VMAX,singular,NEUTRAL,0.0
EQUIPMENT AGENT,singular,NEUTRAL,0.0
NAME ADDRESS METER MOVE AGENT,singular,NEUTRAL,0.0
CSS - SUPPLY RETURNS,singular,NEUTRAL,0.0
A - SWAPS CONTRACTS,singular,NEUTRAL,0.0
LOST/STOLEN APPL AGENT,singular,NEUTRAL,0.0
3-4X5VXP,singular,NEUTRAL,0.0
PURCHASE SCALE AGENT,singular,NEUTRAL,0.0
X PLACEMENT NON-GEM $ ONLY APPLETON,singular,NEUTRAL,0.0
X PLACEMENT GEM $ ONLY APPLETON,singular,NEUTRAL,0.0
CREDIT CARD REPORT EMAILS,singular,NEUTRAL,0.0
SERVICE EXPRESS,singular,NEUTRAL,0.0
R2PP EMAILS,singular,NEUTRAL,0.0
EQUIPMENT MAINTENANCE AGENT,singular,NEUTRAL,0.0
TAM CONNECTICUT SALES LEAD,singular,NEUTRAL,0.0
MASS MAIL,singular,NEUTRAL,0.0
SWAPS AGENT,singular,NEUTRAL,0.0
BANKRUPTCY W/O-APPLETON,singular,NEUTRAL,0.0
2-1KBRGL,singular,NEUTRAL,0.0
ACCOUNT INTEGRITY,singular,NEUTRAL,0.0
SOFTGUARD,singular,NEUTRAL,0.0
*,singular,NEUTRAL,0.0
METER LOCK REPORT,singular,NEUTRAL,0.0
X PLACEMENT NON-GEM EQUIP ONLY APPLETON,singular,NEUTRAL,0.0
TAM,singular,NEUTRAL,0.0
SITEL-ACCOUNT INTEGRITY,singular,NEUTRAL,0.0
CASH ON ACCOUNT,singular,NEUTRAL,0.0
POSTAL EDUC PROGRAM,singular,NEUTRAL,0.0
NAME CHANGES,singular,NEUTRAL,0.0
PROACTIVE RETENTION,singular,NEUTRAL,0.0
COLLECTIONS TO BE WORKED,singular,NEUTRAL,0.0
ORDERS,singular,NEUTRAL,0.0
CSS - SUPPLY CREDITS,singular,NEUTRAL,0.0
SALES LEAD AGENT,singular,NEUTRAL,0.0
INSIDE SALES REPLACEMENT,singular,NEUTRAL,0.0
CSS - LEASE ADJUSTMENT,singular,NEUTRAL,0.0
PARAGON MIGRATION,singular,NEUTRAL,0.0
NMPO ADMIN,singular,NEUTRAL,0.0
X PLACEMENT GEM EQUIP ONLY APPLETON,singular,NEUTRAL,0.0
TAM BAD PHONE #,singular,NEUTRAL,0.0
PUP REPORT,singular,NEUTRAL,0.0
CHANGE OF POST OFFICE AGENT,singular,NEUTRAL,0.0
OUTBOUND / NO FOLLOW-UP,singular,NEUTRAL,0.0
