Code/Key,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
TRADE - UP,NEUTRAL,0.0
LOW POSTAGE VOLUME,NEUTRAL,0.0
CONTACT INFORMATION,NEUTRAL,0.0
COLLECTION CODES,NEUTRAL,0.0
MANUAL UPDATE,NEUTRAL,0.0
FINANCIAL - PI - K7,NEUTRAL,0.0
SUPPLIES,NEUTRAL,0.0
XLEA,NEUTRAL,0.0
EXPIRING RETENTION CUSTOMERS,NEUTRAL,0.0
STAX,NEUTRAL,0.0
RESP,NEUTRAL,0.0
VMIQ,NEUTRAL,0.0
REPLACE SCALE (PI),NEUTRAL,0.0
MPCH,NEUTRAL,0.0
FINANCIAL,NEUTRAL,0.0
LCAJ,NEUTRAL,0.0
BUSY,NEUTRAL,0.0
CUSTOMERS PAYMENT,NEUTRAL,0.0
REPLACE G799,NEUTRAL,0.0
XMSD,NEUTRAL,0.0
NO PERCEIVED VALUE,NEUTRAL,0.0
NO OPPORTUNITY,NEUTRAL,0.0
RECL,NEUTRAL,0.0
CUSTOMER UPDATES,NEUTRAL,0.0
ALREADY CANCELLED,NEUTRAL,0.0
BALANCE INQUIRY-EXPLAINED,NEUTRAL,0.0
XSPL,NEUTRAL,0.0
BALI,NEUTRAL,0.0
INCOMPLETE SOLUTIONS CALL,NEUTRAL,0.0
POSTAL - PI - K7,NEUTRAL,0.0
CCCB,NEUTRAL,0.0
LORI LEAD,NEUTRAL,0.0
FIELD ACCOUNT,NEUTRAL,0.0
INVOICE COPIES,NEUTRAL,0.0
CCBL,NEUTRAL,0.0
XIVM,NEUTRAL,0.0
XRET,NEUTRAL,0.0
REFUSED,NEUTRAL,0.0
NO CONTACT,NEUTRAL,0.0
CUSTOMER RETENTION (IB),NEUTRAL,0.0
SAVE (EOL),NEUTRAL,0.0
MPAY,NEUTRAL,0.0
PRIN,NEUTRAL,0.0
E7XX REPLACEMENT,NEUTRAL,0.0
FAX MACHINE,NEUTRAL,0.0
NO OPP (EOL),NEUTRAL,0.0
MSDC,NEUTRAL,0.0
REPORTS,NEUTRAL,0.0
QPN - SAVED,NEUTRAL,0.0
MISDIRECT (IB),NEUTRAL,0.0
EQUIPMENT,NEUTRAL,0.0
PBPQ,NEUTRAL,0.0
G799,NEUTRAL,0.0
REPLACE METER,NEUTRAL,0.0
