Code/Key,Natural Language Description,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
3-BSM6K3,singular,NEUTRAL,0.0
3-ULM67B,singular,NEUTRAL,0.0
3-1JAKWVF,singular,NEUTRAL,0.0
2-J21A,singular,NEUTRAL,0.0
2-60JWT,singular,NEUTRAL,0.0
3-W9RRQI,singular,NEUTRAL,0.0
3-1A5FH0K,singular,NEUTRAL,0.0
3-W9RRR3,singular,NEUTRAL,0.0
3-1I729A3,singular,NEUTRAL,0.0
2-1XNDA1,singular,NEUTRAL,0.0
2-1FW765,singular,NEUTRAL,0.0
2-17WK,singular,NEUTRAL,0.0
3-1D39ZV0,singular,NEUTRAL,0.0
3-1LP3Q14,singular,NEUTRAL,0.0
3-1BYTKZH,singular,NEUTRAL,0.0
3-1JRZWDT,singular,NEUTRAL,0.0
3-1KTV3BF,singular,NEUTRAL,0.0
3-AVYC2J,singular,NEUTRAL,0.0
3-1I5GX53,singular,NEUTRAL,0.0
2-28HO7D,singular,NEUTRAL,0.0
2-17UT,singular,NEUTRAL,0.0
2-9NRG4,singular,NEUTRAL,0.0
3-V9LP83,singular,NEUTRAL,0.0
3-ANT404,singular,NEUTRAL,0.0
3-1OCLY2H,singular,NEUTRAL,0.0
3-1LLIZGT,singular,NEUTRAL,0.0
3-1M4R2YC,singular,NEUTRAL,0.0
3-1JHCLFY,singular,NEUTRAL,0.0
3-P14ZOI,singular,NEUTRAL,0.0
2-6BO1,singular,NEUTRAL,0.0
2-TAD1N,singular,NEUTRAL,0.0
3-1DO6MAY,singular,NEUTRAL,0.0
2-6FJ2,singular,NEUTRAL,0.0
3-1IKB6R8,singular,NEUTRAL,0.0
3-5HHH7I,singular,NEUTRAL,0.0
5-JUN-02,singular,NEUTRAL,0.0
3-1KU239R,singular,NEUTRAL,0.0
2-19MVD5,singular,NEUTRAL,0.0
3-IAVGP4,singular,NEUTRAL,0.0
3-YSFDTZ,singular,NEUTRAL,0.0
3-50S92M,singular,NEUTRAL,0.0
3-33RD08,singular,NEUTRAL,0.0
3-PYEVA6,singular,NEUTRAL,0.0
2-931S9,singular,NEUTRAL,0.0
3-1B78UZ5,singular,NEUTRAL,0.0
2-1EDSDX,singular,NEUTRAL,0.0
3-1KLRJML,singular,NEUTRAL,0.0
2-1X0A9L,singular,NEUTRAL,0.0
3-1KU239D,singular,NEUTRAL,0.0
3-1K2D27J,singular,NEUTRAL,0.0
2-1EDSED,singular,NEUTRAL,0.0
3-1JHCLJF,singular,NEUTRAL,0.0
3-S4940L,singular,NEUTRAL,0.0
3-1B5UKXP,singular,NEUTRAL,0.0
2-TAD3B,singular,NEUTRAL,0.0
3-1K2D1TJ,singular,NEUTRAL,0.0
2-7VZ3N,singular,NEUTRAL,0.0
3-1EXG3Z4,singular,NEUTRAL,0.0
3-MHZBGE,singular,NEUTRAL,0.0
3-2GTCBO,singular,NEUTRAL,0.0
CLOSED,singular,NEUTRAL,0.0
2-BM4JP,singular,NEUTRAL,0.0
14-SEP-12,singular,NEUTRAL,0.0
3-15OETPX,singular,NEUTRAL,0.0
3-QV9424,singular,NEUTRAL,0.0
2-1TA86H,singular,NEUTRAL,0.0
3-4VFLZW,singular,NEUTRAL,0.0
2-6G6V,singular,NEUTRAL,0.0
3-1FOYL1E,singular,NEUTRAL,0.0
3-1G8U1QJ,singular,NEUTRAL,0.0
3-1KTV3FJ,singular,NEUTRAL,0.0
2-1XTH3X,singular,NEUTRAL,0.0
3-C6Q552,singular,NEUTRAL,0.0
2-1IJ2,singular,NEUTRAL,0.0
3-1OBFU5Z,singular,NEUTRAL,0.0
3-CKF5YP,singular,NEUTRAL,0.0
3-NGBEQ1,singular,NEUTRAL,0.0
3-2CFXFR,singular,NEUTRAL,0.0
3-PMVSUA,singular,NEUTRAL,0.0
3-Z622GW,singular,NEUTRAL,0.0
3-1MVVMNB,singular,NEUTRAL,0.0
3-OF27CB,singular,NEUTRAL,0.0
3-1C3Y7VO,singular,NEUTRAL,0.0
3-1KTV3EH,singular,NEUTRAL,0.0
3-1AYGEBL,singular,NEUTRAL,0.0
3-PES267,singular,NEUTRAL,0.0
3-1K29J5D,singular,NEUTRAL,0.0
3-FU0AKE,singular,NEUTRAL,0.0
3-1OPSFTC,singular,NEUTRAL,0.0
2-200321,singular,NEUTRAL,0.0
3-BL0CMY,singular,NEUTRAL,0.0
3-JP7E9H,singular,NEUTRAL,0.0
3-OW1A9X,singular,NEUTRAL,0.0
3-18OVLY4,singular,NEUTRAL,0.0
3-1OVOCPK,singular,NEUTRAL,0.0
3-1OPSFSP,singular,NEUTRAL,0.0
3-126AIIS,singular,NEUTRAL,0.0
3-W5P6S6,singular,NEUTRAL,0.0
3-QFGVYT,singular,NEUTRAL,0.0
3-CHOF30,singular,NEUTRAL,0.0
3-1JHCLLZ,singular,NEUTRAL,0.0
3-11TOPFR,singular,NEUTRAL,0.0
3-1G9WAIF,singular,NEUTRAL,0.0
3-YCI95E,singular,NEUTRAL,0.0
3-1BWSVU6,singular,NEUTRAL,0.0
2-1IE54T,singular,NEUTRAL,0.0
2-6DOAG,singular,NEUTRAL,0.0
3-11ZIWR7,singular,NEUTRAL,0.0
25-OCT-07,singular,NEUTRAL,0.0
3-JYW8LN,singular,NEUTRAL,0.0
3-1KTV3CH,singular,NEUTRAL,0.0
3-MEM4SV,singular,NEUTRAL,0.0
2-83GR6,singular,NEUTRAL,0.0
9-OCT-12,singular,NEUTRAL,0.0
2-2GRM,singular,NEUTRAL,0.0
3-7VBQTH,singular,NEUTRAL,0.0
3-9SMH76,singular,NEUTRAL,0.0
3-1LSHT9V,singular,NEUTRAL,0.0
3-HWADAT,singular,NEUTRAL,0.0
3-RE2RNI,singular,NEUTRAL,0.0
3-1LSHSXS,singular,NEUTRAL,0.0
3-1LY1UT7,singular,NEUTRAL,0.0
2-FK4MD,singular,NEUTRAL,0.0
3-1JAKWT5,singular,NEUTRAL,0.0
2-4LQ3,singular,NEUTRAL,0.0
3-QE9G0Z,singular,NEUTRAL,0.0
