Code/Key,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
FUNDS TRANSFER REQUEST (R),NEUTRAL,0.0
INDEXING ERROR,NEUTRAL,0.0
ADD CREDIT CARD,NEUTRAL,0.0
REFUND,NEUTRAL,0.0
ERROR MESSAGE - ES,NEUTRAL,0.0
REQUEST TO MAKE PAYMENT,NEUTRAL,0.0
NON-REMOVE COD,NEUTRAL,0.0
CANCEL (EOL-REFUSED),NEUTRAL,0.0
ERROR MESSAGE - EM,NEUTRAL,0.0
RETENTION (EOL-MISDIR),NEUTRAL,0.0
WAIVE RENTAL LATE FEE,NEUTRAL,0.0
RETENTION,NEUTRAL,0.0
BILLING ?S-PI - K7,NEUTRAL,0.0
DEACTIVATE CUSTOMER,NEUTRAL,0.0
SENT,NEUTRAL,0.0
PROCESSED SPEED PAY,NEUTRAL,0.0
ALREADY CANCELLED,NEUTRAL,0.0
INK CARTRIDGE ISSUE-PI - K7,NEUTRAL,0.0
SET UP NEW CREDIT CARD,NEUTRAL,0.0
CROSS-SELL OFFER ACCEPTED,NEUTRAL,0.0
MARKETING PROGRAM CHANGE (C),NEUTRAL,0.0
PHONE LINE ISSUE-PI - K7,NEUTRAL,0.0
CXL-DR,NEUTRAL,0.0
CALIBRATION - WEIGHT (PI),NEUTRAL,0.0
REFUND-OVER MY LIMIT,NEUTRAL,0.0
UPDATE CANCEL ADDRESS,NEUTRAL,0.0
ACTIVATE CUSTOMER,NEUTRAL,0.0
BUYBACK FIELD REP,NEUTRAL,0.0
PLACEMENT,NEUTRAL,0.0
WW RET,NEUTRAL,0.0
CREATE BILL TO/INSTALL,NEUTRAL,0.0
CONTRACTED,NEUTRAL,0.0
PH DID NOT RESOLVE PRINT (PI),NEUTRAL,0.0
INSTALL ASST - K7,NEUTRAL,0.0
PROCESSED CREDIT CARD PAYMENT,NEUTRAL,0.0
PB ERROR,NEUTRAL,0.0
2ND REQUEST CANCEL,NEUTRAL,0.0
ACCNT BALANCE INQUIRY,NEUTRAL,0.0
UPDATE INVENTORY CODE,NEUTRAL,0.0
CCL - PROPOSAL,NEUTRAL,0.0
GFS,NEUTRAL,0.0
TRANSLATE,NEUTRAL,0.0
NO FUNDS - ADV. PAYMNT OPTNS,NEUTRAL,0.0
CUSTOMER UPDATE-LEASING,NEUTRAL,0.0
SAVE PROCESSED,NEUTRAL,0.0
PRINT QUALITY POOR (PI),NEUTRAL,0.0
DASHES ACROSS DISPLAY (RSPI),NEUTRAL,0.0
FILE CORRECT,NEUTRAL,0.0
RECOVERY PROCESSED,NEUTRAL,0.0
INVOICE DISPUTE,NEUTRAL,0.0
07B7BOGO,NEUTRAL,0.0
BLANK/NO POWER - P700 - EM,NEUTRAL,0.0
PP/CLOSED,NEUTRAL,0.0
METER RETURN ASST (PI),NEUTRAL,0.0
MISDIRECTED CALL,NEUTRAL,0.0
RETURNED METER,NEUTRAL,0.0
TERMS AND CONDITIONS,NEUTRAL,0.0
70K7MBOGO,NEUTRAL,0.0
CANCEL RESET CHARGES,NEUTRAL,0.0
METER INSTRUCTIONS NEEDED (R),NEUTRAL,0.0
NOTIFIED SALES,NEUTRAL,0.0
RESEQUENCE REQUEST,NEUTRAL,0.0
RESEQUENCE LEASE,NEUTRAL,0.0
ERROR MESSAGE - IS,NEUTRAL,0.0
ADDRESS CHANGES,NEUTRAL,0.0
SUPPLY LINE,NEUTRAL,0.0
REMOVE COD,NEUTRAL,0.0
USER GUIDANCE - IM,NEUTRAL,0.0
BP RIGHTSIZE,NEUTRAL,0.0
PH - 9999  (PI),NEUTRAL,0.0
COMMITMENT(A),NEUTRAL,0.0
MECHANICAL FAILURE (PI),NEUTRAL,0.0
CANCELED INVOICE,NEUTRAL,0.0
%50 OFF INK COUPON,NEUTRAL,0.0
NO CONTACT/COMPLETE (CL),NEUTRAL,0.0
UPGRADE,NEUTRAL,0.0
1ST CALL RESOLUTION/NV,NEUTRAL,0.0
LOADED EMA,NEUTRAL,0.0
PBCC,NEUTRAL,0.0
CONSIDER,NEUTRAL,0.0
EXPLAINED LATE CHARGE,NEUTRAL,0.0
PBP - K7,NEUTRAL,0.0
1ST CALL RESOLUTION/NO,NEUTRAL,0.0
